PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
2028,0,1,"Davis, Mrs. Jordan 28",female,37.82,0,0,SYN-00028,65.3009,,S
2029,1,1,"Evans, Mrs. Casey 29",female,21.0,0,0,SYN-00029,145.5522,,S
2030,0,2,"Foster, Mr. Riley 30",male,37.66,1,0,SYN-00030,8.3502,,S
2031,0,2,"Green, Mr. Avery 31",male,,1,0,SYN-00031,87.7239,G96,Q
2032,1,1,"Hall, Mr. Jamie 32",male,21.48,2,0,SYN-00032,57.0083,A49,Q
2033,1,2,"Anderson, Mrs. Alex 33",female,45.78,0,0,SYN-00033,29.5087,,C
2034,0,1,"Bennett, Mr. Morgan 34",male,,1,0,SYN-00034,112.7243,,S
2035,1,2,"Carter, Mr. Taylor 35",male,20.11,0,1,SYN-00035,15.2135,,Q
2036,1,2,"Davis, Mrs. Jordan 36",female,,0,0,SYN-00036,31.3809,C117,S
2037,1,2,"Evans, Mrs. Casey 37",female,20.96,1,1,SYN-00037,32.2909,,C
2038,0,2,"Foster, Mr. Riley 38",male,,1,0,SYN-00038,13.511,,S
2039,1,1,"Green, Mrs. Avery 39",female,16.0,0,0,SYN-00039,47.5975,,C
2040,1,1,"Hall, Mr. Jamie 40",male,34.99,0,0,SYN-00040,71.7662,C97,S
2041,0,1,"Anderson, Mr. Alex 41",male,40.46,1,0,SYN-00041,65.6918,,S
2042,0,3,"Bennett, Mr. Morgan 42",male,28.76,0,0,SYN-00042,21.5162,,Q
2043,0,3,"Carter, Mr. Taylor 43",male,44.14,0,0,SYN-00043,14.7177,,S
2044,1,3,"Davis, Mrs. Jordan 44",female,25.74,0,0,SYN-00044,9.6201,,C
2045,1,3,"Evans, Mr. Casey 45",male,3.6,0,0,SYN-00045,13.9563,,S
2046,1,3,"Foster, Mr. Riley 46",male,16.32,0,0,SYN-00046,3.2444,G46,S
2047,0,2,"Green, Mr. Avery 47",male,44.24,0,0,SYN-00047,14.2579,,S
2048,1,3,"Hall, Mrs. Jamie 48",female,19.27,1,1,SYN-00048,11.7152,,S
2049,0,3,"Anderson, Mr. Alex 49",male,34.9,0,0,SYN-00049,18.4679,,C
2050,0,3,"Bennett, Mrs. Morgan 50",female,29.0,0,0,SYN-00050,11.1614,,S
2051,1,3,"Carter, Mrs. Taylor 51",female,15.26,0,1,SYN-00051,22.3007,,S
2052,1,2,"Davis, Mrs. Jordan 52",female,21.47,1,0,SYN-00052,32.2365,,S
2053,0,3,"Evans, Mr. Casey 53",male,,0,0,SYN-00053,7.6446,,S
2054,1,3,"Foster, Mr. Riley 54",male,32.82,1,0,SYN-00054,9.2587,G25,C
2055,0,2,"Green, Mr. Avery 55",male,15.87,2,1,SYN-00055,25.0372,,C
2056,0,3,"Hall, Mr. Jamie 56",male,34.27,0,1,SYN-00056,7.8134,,S
2057,0,1,"Anderson, Mr. Alex 57",male,27.95,0,0,SYN-00057,162.5044,,S
2058,0,3,"Bennett, Mr. Morgan 58",male,78.36,0,0,SYN-00058,5.4346,,S
2059,1,3,"Carter, Mrs. Taylor 59",female,33.99,0,0,SYN-00059,11.8989,B72,S
2060,1,1,"Davis, Mrs. Jordan 60",female,24.67,0,1,SYN-00060,104.8983,,C
2061,0,3,"Evans, Mr. Casey 61",male,49.88,0,0,SYN-00061,8.4165,A146,S
2062,0,1,"Foster, Mr. Riley 62",male,4.23,0,0,SYN-00062,52.0474,,S
2063,1,3,"Green, Mr. Avery 63",male,31.32,0,0,SYN-00063,9.5902,,S
2064,1,3,"Hall, Mr. Jamie 64",male,57.92,2,1,SYN-00064,15.6299,,S
2065,0,3,"Anderson, Mr. Alex 65",male,28.37,1,1,SYN-00065,7.5964,E35,C
2066,0,3,"Bennett, Mr. Morgan 66",male,,1,1,SYN-00066,5.5549,,S
2067,0,1,"Carter, Mr. Taylor 67",male,24.46,1,0,SYN-00067,131.8041,,S
2068,1,2,"Davis, Mrs. Jordan 68",female,50.36,0,0,SYN-00068,24.9119,,S
2069,0,2,"Evans, Mrs. Casey 69",female,35.26,1,0,SYN-00069,34.8152,,S
2070,0,1,"Foster, Mr. Riley 70",male,18.26,0,2,SYN-00070,106.2854,,S
2071,1,2,"Green, Mrs. Avery 71",female,20.41,1,2,SYN-00071,66.3319,,C
2072,1,2,"Hall, Mr. Jamie 72",male,22.16,1,1,SYN-00072,36.9279,C35,S
2073,1,2,"Anderson, Mr. Alex 73",male,35.06,1,0,SYN-00073,13.43,D64,S
2074,1,2,"Bennett, Mrs. Morgan 74",female,48.73,1,0,SYN-00074,25.9035,F24,S
2075,0,3,"Carter, Mrs. Taylor 75",female,44.73,1,0,SYN-00075,7.3593,,C
2076,1,2,"Davis, Mrs. Jordan 76",female,3.6,0,1,SYN-00076,15.5796,,S
2077,1,3,"Evans, Mrs. Casey 77",female,11.36,1,1,SYN-00077,4.5984,E20,S
2078,0,2,"Foster, Mr. Riley 78",male,,0,1,SYN-00078,17.0879,E105,C
2079,1,2,"Green, Mr. Avery 79",male,,1,0,SYN-00079,26.9909,,S
2080,0,3,"Hall, Mr. Jamie 80",male,11.16,0,0,SYN-00080,9.6434,,C
2081,0,2,"Anderson, Mr. Alex 81",male,26.84,0,0,SYN-00081,10.9253,,C
2082,0,2,"Bennett, Mr. Morgan 82",male,34.26,0,0,SYN-00082,8.6544,,C
2083,0,3,"Carter, Mr. Taylor 83",male,14.07,1,0,SYN-00083,31.9477,,S
2084,1,1,"Davis, Mrs. Jordan 84",female,11.35,0,0,SYN-00084,83.7079,,S
2085,0,2,"Evans, Mrs. Casey 85",female,28.68,0,0,SYN-00085,12.7113,,C
2086,1,3,"Foster, Mrs. Riley 86",female,,0,0,SYN-00086,12.8915,,S
2087,0,2,"Green, Mr. Avery 87",male,44.86,0,0,SYN-00087,66.672,,S
2088,0,3,"Hall, Mr. Jamie 88",male,38.5,0,1,SYN-00088,14.0671,,S
2089,1,2,"Anderson, Mrs. Alex 89",female,31.03,0,1,SYN-00089,4.3182,,S
2090,0,3,"Bennett, Mr. Morgan 90",male,19.55,0,0,SYN-00090,,,S
2091,1,3,"Carter, Mrs. Taylor 91",female,15.01,0,2,SYN-00091,3.6165,F62,Q
2092,1,3,"Davis, Mr. Jordan 92",male,22.85,0,0,SYN-00092,8.9288,,S
2093,0,3,"Evans, Mr. Casey 93",male,35.74,0,0,SYN-00093,5.3613,,S
2094,0,1,"Foster, Mr. Riley 94",male,34.71,0,0,SYN-00094,46.595,,Q
2095,0,3,"Green, Mrs. Avery 95",female,0.6,0,1,SYN-00095,11.6932,,S
2096,1,1,"Hall, Mr. Jamie 96",male,19.0,0,0,SYN-00096,22.4083,,S
2097,1,3,"Anderson, Mr. Alex 97",male,46.86,0,0,SYN-00097,9.5158,,S
2098,1,3,"Bennett, Mrs. Morgan 98",female,,1,0,SYN-00098,18.7956,,S
2099,1,2,"Carter, Mrs. Taylor 99",female,10.1,1,0,SYN-00099,12.578,F140,S
2100,0,3,"Davis, Mr. Jordan 100",male,62.98,0,0,SYN-00100,4.6549,D148,S
2101,1,1,"Evans, Mr. Casey 101",male,29.59,0,1,SYN-00101,64.8371,,S
2102,1,3,"Foster, Mr. Riley 102",male,,0,0,SYN-00102,8.302,,S
2103,0,3,"Green, Mrs. Avery 103",female,35.59,0,0,SYN-00103,7.2081,,S
2104,0,1,"Hall, Mr. Jamie 104",male,24.85,0,0,SYN-00104,36.4122,,S
2105,0,3,"Anderson, Mr. Alex 105",male,19.81,0,0,SYN-00105,13.305,D5,S
2106,0,3,"Bennett, Mr. Morgan 106",male,59.7,1,0,SYN-00106,13.8735,,S
2107,1,1,"Carter, Mr. Taylor 107",male,44.04,1,3,SYN-00107,38.9543,,S
2108,1,3,"Davis, Mrs. Jordan 108",female,41.51,0,0,SYN-00108,6.005,,C
2109,1,2,"Evans, Mrs. Casey 109",female,38.07,2,0,SYN-00109,21.5592,,S
2110,0,3,"Foster, Mr. Riley 110",male,15.95,0,0,SYN-00110,5.8817,,C
2111,0,1,"Green, Mr. Avery 111",male,47.89,0,1,SYN-00111,77.2278,,S
2112,1,3,"Hall, Mrs. Jamie 112",female,,0,0,SYN-00112,22.4213,,S
2113,1,3,"Anderson, Mrs. Alex 113",female,33.97,0,0,SYN-00113,9.6763,D105,S
2114,1,1,"Bennett, Mr. Morgan 114",male,7.05,0,0,SYN-00114,35.9097,B107,S
2115,1,2,"Carter, Mrs. Taylor 115",female,1.43,0,1,SYN-00115,24.8135,F79,S
2116,0,3,"Davis, Mr. Jordan 116",male,,1,0,SYN-00116,9.0691,,C
2117,1,3,"Evans, Mr. Casey 117",male,18.67,0,0,SYN-00117,9.2073,,C
2118,1,2,"Foster, Mr. Riley 118",male,2.15,0,1,SYN-00118,25.9757,,Q
2119,1,1,"Green, Mr. Avery 119",male,,1,0,SYN-00119,102.3671,,Q
2120,0,1,"Hall, Mr. Jamie 120",male,59.68,0,0,SYN-00120,71.3803,G2,S
2121,0,3,"Anderson, Mr. Alex 121",male,49.45,1,0,SYN-00121,9.6718,E120,S
2122,0,3,"Bennett, Mr. Morgan 122",male,,1,1,SYN-00122,31.1101,,S
2123,0,3,"Carter, Mrs. Taylor 123",female,30.12,0,1,SYN-00123,19.3538,,S
2124,1,3,"Davis, Mr. Jordan 124",male,42.43,1,0,SYN-00124,15.8162,,
2125,0,3,"Evans, Mrs. Casey 125",female,45.71,1,1,SYN-00125,10.7483,,S
2126,1,1,"Foster, Mr. Riley 126",male,25.19,1,1,SYN-00126,40.2591,,S
2127,1,1,"Green, Mrs. Avery 127",female,30.48,2,0,SYN-00127,130.1331,,
2128,1,3,"Hall, Mrs. Jamie 128",female,,0,0,SYN-00128,10.826,,C
2129,0,3,"Anderson, Mrs. Alex 129",female,37.75,0,0,SYN-00129,7.2801,,S
2130,1,2,"Bennett, Mr. Morgan 130",male,28.14,0,1,SYN-00130,17.4966,B11,C
2131,0,2,"Carter, Mrs. Taylor 131",female,,0,0,SYN-00131,11.7556,,S
2132,0,3,"Davis, Mr. Jordan 132",male,49.32,0,0,SYN-00132,17.8877,,S
2133,1,2,"Evans, Mr. Casey 133",male,46.93,0,0,SYN-00133,29.1193,D3,S
2134,0,1,"Foster, Mrs. Riley 134",female,,0,0,SYN-00134,77.3541,B152,C
2135,0,3,"Green, Mr. Avery 135",male,54.07,0,1,SYN-00135,9.7674,,C
2136,0,2,"Hall, Mrs. Jamie 136",female,24.59,1,0,SYN-00136,13.7545,C76,S
2137,0,3,"Anderson, Mr. Alex 137",male,52.72,0,0,SYN-00137,3.0989,,S
2138,0,1,"Bennett, Mr. Morgan 138",male,37.6,2,0,SYN-00138,32.1813,,S
2139,0,1,"Carter, Mr. Taylor 139",male,75.79,0,0,SYN-00139,46.5273,,S
2140,1,3,"Davis, Mrs. Jordan 140",female,13.31,0,1,SYN-00140,6.1193,E35,S
2141,0,2,"Evans, Mr. Casey 141",male,20.35,2,1,SYN-00141,23.4502,,S
2142,1,3,"Foster, Mr. Riley 142",male,35.86,1,0,SYN-00142,15.6255,,S
2143,1,1,"Green, Mr. Avery 143",male,35.56,0,3,SYN-00143,65.2257,,C
2144,1,3,"Hall, Mr. Jamie 144",male,57.3,2,2,SYN-00144,21.7038,,C
2145,0,3,"Anderson, Mr. Alex 145",male,,0,0,SYN-00145,6.5012,A45,C
2146,1,3,"Bennett, Mrs. Morgan 146",female,,0,1,SYN-00146,9.2817,,Q
2147,1,1,"Carter, Mrs. Taylor 147",female,46.27,1,1,SYN-00147,68.0643,,Q
2148,0,2,"Davis, Mr. Jordan 148",male,39.87,1,1,SYN-00148,36.468,,S
2149,0,2,"Evans, Mr. Casey 149",male,2.98,1,0,SYN-00149,21.1993,,S
2150,1,3,"Foster, Mrs. Riley 150",female,49.71,0,0,SYN-00150,10.7623,,S
2151,0,2,"Green, Mr. Avery 151",male,47.21,3,0,SYN-00151,8.0492,,C
2152,1,1,"Hall, Mr. Jamie 152",male,38.39,1,1,SYN-00152,42.6722,,S
2153,1,2,"Anderson, Mrs. Alex 153",female,,0,1,SYN-00153,36.5436,B64,S
2154,0,2,"Bennett, Mr. Morgan 154",male,33.17,0,0,SYN-00154,6.3872,,S
2155,0,2,"Carter, Mrs. Taylor 155",female,28.9,0,0,SYN-00155,41.862,,S
2156,1,1,"Davis, Mr. Jordan 156",male,38.97,0,0,SYN-00156,92.1401,,S
2157,1,2,"Evans, Mrs. Casey 157",female,30.44,0,1,SYN-00157,13.2579,,C
2158,1,3,"Foster, Mr. Riley 158",male,18.12,0,2,SYN-00158,6.3278,,S
2159,1,2,"Green, Mr. Avery 159",male,15.32,0,1,SYN-00159,56.7416,E133,C
2160,1,2,"Hall, Mr. Jamie 160",male,19.47,0,0,SYN-00160,43.4671,D1,S
2161,1,3,"Anderson, Mrs. Alex 161",female,33.11,0,0,SYN-00161,9.3642,,C
2162,0,3,"Bennett, Mr. Morgan 162",male,5.52,1,0,SYN-00162,10.7683,E102,S
2163,1,2,"Carter, Mrs. Taylor 163",female,33.01,0,0,SYN-00163,14.0179,B87,S
2164,0,3,"Davis, Mrs. Jordan 164",female,37.01,3,0,SYN-00164,10.7695,,Q
2165,0,3,"Evans, Mr. Casey 165",male,21.22,1,0,SYN-00165,6.9029,,Q
2166,0,3,"Foster, Mr. Riley 166",male,,2,0,SYN-00166,9.5772,,C
2167,0,3,"Green, Mr. Avery 167",male,26.25,2,0,SYN-00167,27.0657,C90,Q
2168,0,3,"Hall, Mr. Jamie 168",male,23.93,1,0,SYN-00168,9.4877,C128,S
2169,1,1,"Anderson, Mrs. Alex 169",female,,0,1,SYN-00169,39.3338,,S
2170,0,2,"Bennett, Mr. Morgan 170",male,4.29,1,0,SYN-00170,9.4331,,S
2171,1,3,"Carter, Mrs. Taylor 171",female,,2,2,SYN-00171,10.7242,,C
2172,0,3,"Davis, Mr. Jordan 172",male,43.74,1,1,SYN-00172,6.5804,,C
2173,1,3,"Evans, Mrs. Casey 173",female,5.68,1,1,SYN-00173,11.4526,,Q
2174,0,1,"Foster, Mr. Riley 174",male,45.65,0,0,SYN-00174,28.725,,C
2175,1,3,"Green, Mrs. Avery 175",female,,0,0,SYN-00175,14.6175,,S
2176,1,1,"Hall, Mrs. Jamie 176",female,24.83,0,1,SYN-00176,39.0719,B49,S
2177,0,3,"Anderson, Mr. Alex 177",male,34.09,0,0,SYN-00177,10.2579,,S
2178,1,3,"Bennett, Mr. Morgan 178",male,45.67,0,0,SYN-00178,8.3022,,S
2179,0,3,"Carter, Mr. Taylor 179",male,15.11,1,1,SYN-00179,25.7311,D138,C
2180,1,3,"Davis, Mr. Jordan 180",male,,0,0,SYN-00180,10.9891,,S
2181,0,3,"Evans, Mr. Casey 181",male,11.62,1,0,SYN-00181,29.1541,,Q
2182,1,3,"Foster, Mr. Riley 182",male,23.31,0,1,SYN-00182,13.6126,,S
2183,0,3,"Green, Mr. Avery 183",male,18.81,0,1,SYN-00183,21.9016,,S
2184,0,3,"Hall, Mrs. Jamie 184",female,34.8,0,0,SYN-00184,8.9151,,C
2185,0,3,"Anderson, Mr. Alex 185",male,46.21,1,0,SYN-00185,12.0928,,S
2186,0,1,"Bennett, Mr. Morgan 186",male,27.42,1,0,SYN-00186,136.8314,,C
2187,0,3,"Carter, Mr. Taylor 187",male,12.2,2,0,SYN-00187,16.4498,,S
2188,1,1,"Davis, Mrs. Jordan 188",female,,0,0,SYN-00188,93.7416,F81,S
2189,1,3,"Evans, Mr. Casey 189",male,,0,1,SYN-00189,8.3497,D48,S
2190,1,3,"Foster, Mrs. Riley 190",female,55.82,0,0,SYN-00190,9.1638,E104,S
2191,1,2,"Green, Mr. Avery 191",male,35.51,0,0,SYN-00191,37.3916,C98,C
2192,1,1,"Hall, Mrs. Jamie 192",female,24.58,0,0,SYN-00192,146.7523,,Q
2193,1,2,"Anderson, Mrs. Alex 193",female,,2,0,SYN-00193,14.435,,C
2194,0,3,"Bennett, Mr. Morgan 194",male,,0,0,SYN-00194,6.6427,,S
2195,1,1,"Carter, Mrs. Taylor 195",female,24.7,0,0,SYN-00195,42.5731,,Q
2196,1,1,"Davis, Mrs. Jordan 196",female,6.32,0,0,SYN-00196,110.4796,C94,S
2197,1,3,"Evans, Mr. Casey 197",male,,1,1,SYN-00197,5.9977,,S
2198,1,3,"Foster, Mr. Riley 198",male,,0,1,SYN-00198,15.6781,,C
2199,0,1,"Green, Mrs. Avery 199",female,41.17,0,1,SYN-00199,94.5024,F33,C
2200,1,2,"Hall, Mrs. Jamie 200",female,,0,0,SYN-00200,14.8193,D107,Q
2201,0,3,"Anderson, Mr. Alex 201",male,10.3,0,1,SYN-00201,23.6345,,C
2202,0,3,"Bennett, Mr. Morgan 202",male,53.69,0,0,SYN-00202,4.4743,,S
2203,1,3,"Carter, Mr. Taylor 203",male,,1,1,SYN-00203,24.9115,,S
2204,1,2,"Davis, Mrs. Jordan 204",female,20.48,1,0,SYN-00204,23.8342,,S
2205,1,2,"Evans, Mrs. Casey 205",female,,1,0,SYN-00205,6.3938,,S
2206,1,1,"Foster, Mrs. Riley 206",female,35.79,0,0,SYN-00206,168.0109,,S
2207,0,3,"Green, Mrs. Avery 207",female,2.58,2,1,SYN-00207,17.0696,,S
2208,1,1,"Hall, Mr. Jamie 208",male,7.97,0,0,SYN-00208,55.3114,,S
2209,1,1,"Anderson, Mrs. Alex 209",female,,2,0,SYN-00209,41.1778,E58,S
2210,1,3,"Bennett, Mr. Morgan 210",male,,0,2,SYN-00210,4.219,,C
2211,0,3,"Carter, Mr. Taylor 211",male,31.05,0,1,SYN-00211,37.7536,,S
2212,0,3,"Davis, Mr. Jordan 212",male,36.32,0,1,SYN-00212,6.0178,,S
2213,1,3,"Evans, Mrs. Casey 213",female,26.34,0,0,SYN-00213,4.9909,,S
2214,0,3,"Foster, Mr. Riley 214",male,20.77,0,0,SYN-00214,11.5877,,S
2215,0,2,"Green, Mr. Avery 215",male,,1,2,SYN-00215,8.1246,,S
2216,1,2,"Hall, Mr. Jamie 216",male,27.37,1,0,SYN-00216,11.6567,,S
2217,1,3,"Anderson, Mrs. Alex 217",female,23.79,1,0,SYN-00217,17.2846,,Q
2218,1,2,"Bennett, Mrs. Morgan 218",female,45.35,0,0,SYN-00218,25.8174,,C
2219,1,3,"Carter, Mr. Taylor 219",male,19.89,0,0,SYN-00219,8.0856,,S
2220,0,3,"Davis, Mr. Jordan 220",male,5.31,0,0,SYN-00220,10.1012,,S
2221,0,3,"Evans, Mrs. Casey 221",female,30.14,0,0,SYN-00221,7.8399,,S
2222,1,1,"Foster, Mr. Riley 222",male,30.0,0,0,SYN-00222,67.6533,,S
2223,0,2,"Green, Mr. Avery 223",male,33.63,0,1,SYN-00223,13.1541,,S
2224,1,1,"Hall, Mr. Jamie 224",male,59.28,0,0,SYN-00224,50.8746,,Q
2225,1,2,"Anderson, Mrs. Alex 225",female,34.71,2,0,SYN-00225,14.2943,,S
2226,1,2,"Bennett, Mr. Morgan 226",male,0.17,1,0,SYN-00226,13.4168,,S
2227,1,1,"Carter, Mrs. Taylor 227",female,8.42,0,0,SYN-00227,124.2936,,C
2228,0,3,"Davis, Mr. Jordan 228",male,,1,1,SYN-00228,15.274,,S
2229,0,3,"Evans, Mr. Casey 229",male,30.61,0,0,SYN-00229,5.9882,,S
2230,1,3,"Foster, Mrs. Riley 230",female,33.44,0,1,SYN-00230,5.1845,,S
2231,1,1,"Green, Mrs. Avery 231",female,29.6,0,0,SYN-00231,64.1994,,S
2232,0,1,"Hall, Mr. Jamie 232",male,29.26,1,1,SYN-00232,229.0415,,S
2233,1,2,"Anderson, Mr. Alex 233",male,38.58,0,0,SYN-00233,11.3645,,Q
2234,0,1,"Bennett, Mr. Morgan 234",male,22.41,0,2,SYN-00234,64.0601,,S
2235,1,2,"Carter, Mr. Taylor 235",male,16.73,0,0,SYN-00235,21.0001,,C
2236,0,3,"Davis, Mr. Jordan 236",male,,0,1,SYN-00236,9.42,,S
2237,1,1,"Evans, Mr. Casey 237",male,19.98,2,0,SYN-00237,54.4063,,C
2238,0,1,"Foster, Mr. Riley 238",male,31.4,1,0,SYN-00238,132.1304,,S
2239,1,3,"Green, Mrs. Avery 239",female,9.06,0,1,SYN-00239,12.8396,,S
2240,1,3,"Hall, Mrs. Jamie 240",female,31.63,0,0,SYN-00240,15.9232,,S
2241,0,3,"Anderson, Mr. Alex 241",male,16.93,0,0,SYN-00241,13.8287,B159,S
2242,0,2,"Bennett, Mr. Morgan 242",male,,2,0,SYN-00242,32.7009,,S
2243,0,3,"Carter, Mrs. Taylor 243",female,44.63,0,1,SYN-00243,23.9031,,S
2244,0,1,"Davis, Mr. Jordan 244",male,36.61,1,0,SYN-00244,,,C
2245,0,2,"Evans, Mr. Casey 245",male,37.96,0,1,SYN-00245,71.8352,B66,S
2246,0,3,"Foster, Mr. Riley 246",male,5.2,3,0,SYN-00246,19.5333,,S
2247,1,3,"Green, Mr. Avery 247",male,55.72,0,0,SYN-00247,6.9198,,Q
2248,1,2,"Hall, Mr. Jamie 248",male,13.31,0,1,SYN-00248,31.8728,,S
2249,0,3,"Anderson, Mr. Alex 249",male,,1,1,SYN-00249,14.7807,,S
2250,1,1,"Bennett, Mr. Morgan 250",male,44.3,0,0,SYN-00250,201.272,,C
2251,0,1,"Carter, Mr. Taylor 251",male,38.08,0,0,SYN-00251,41.1226,,C
2252,1,1,"Davis, Mr. Jordan 252",male,18.03,1,1,SYN-00252,95.1418,,S
2253,1,3,"Evans, Mr. Casey 253",male,32.12,1,0,SYN-00253,6.8757,E121,S
2254,0,2,"Foster, Mrs. Riley 254",female,23.41,1,1,SYN-00254,26.5129,,S
2255,1,3,"Green, Mrs. Avery 255",female,,0,0,SYN-00255,8.886,G67,S
2256,1,1,"Hall, Mr. Jamie 256",male,26.5,0,0,SYN-00256,91.1223,,C
2257,0,3,"Anderson, Mr. Alex 257",male,1.46,0,0,SYN-00257,4.6039,C118,Q
2258,1,3,"Bennett, Mrs. Morgan 258",female,,0,1,SYN-00258,,B94,S
2259,1,1,"Carter, Mrs. Taylor 259",female,28.86,1,1,SYN-00259,78.4003,,S
2260,1,1,"Davis, Mr. Jordan 260",male,,0,0,SYN-00260,76.1116,,C
2261,1,1,"Evans, Mrs. Casey 261",female,22.16,1,2,SYN-00261,204.6131,,S
2262,1,3,"Foster, Mr. Riley 262",male,35.02,0,1,SYN-00262,,,
2263,1,1,"Green, Mrs. Avery 263",female,17.49,1,1,SYN-00263,84.4991,,S
2264,1,3,"Hall, Mrs. Jamie 264",female,0.17,0,0,SYN-00264,10.567,,S
2265,0,2,"Anderson, Mr. Alex 265",male,35.7,1,0,SYN-00265,22.3015,,S
2266,1,3,"Bennett, Mrs. Morgan 266",female,,0,0,SYN-00266,33.9394,,Q
2267,1,3,"Carter, Mrs. Taylor 267",female,27.21,0,0,SYN-00267,10.3572,G109,S
2268,0,3,"Davis, Mrs. Jordan 268",female,13.93,0,0,SYN-00268,7.3198,C24,C
2269,0,3,"Evans, Mrs. Casey 269",female,31.25,0,0,SYN-00269,27.9826,,S
2270,1,1,"Foster, Mrs. Riley 270",female,9.5,1,0,SYN-00270,59.1021,G68,S
2271,1,3,"Green, Mrs. Avery 271",female,,1,0,SYN-00271,4.136,F31,S
2272,1,1,"Hall, Mrs. Jamie 272",female,19.49,1,0,SYN-00272,46.5735,,S
2273,1,3,"Anderson, Mrs. Alex 273",female,41.82,0,0,SYN-00273,5.0378,,S
2274,1,3,"Bennett, Mr. Morgan 274",male,7.61,0,0,SYN-00274,3.7158,B114,S
2275,0,3,"Carter, Mr. Taylor 275",male,23.73,0,1,SYN-00275,8.1901,,
2276,0,3,"Davis, Mr. Jordan 276",male,57.37,2,0,SYN-00276,9.6212,,S
2277,1,2,"Evans, Mrs. Casey 277",female,,0,0,SYN-00277,38.2836,,C
2278,0,2,"Foster, Mr. Riley 278",male,34.75,0,0,SYN-00278,28.2729,,Q
2279,0,2,"Green, Mr. Avery 279",male,24.82,1,0,SYN-00279,27.5731,C126,
2280,1,3,"Hall, Mr. Jamie 280",male,21.65,0,0,SYN-00280,6.1185,,S
2281,0,3,"Anderson, Mrs. Alex 281",female,0.17,1,0,SYN-00281,16.2696,F104,
2282,1,2,"Bennett, Mrs. Morgan 282",female,43.56,1,1,SYN-00282,42.9875,,S
2283,1,2,"Carter, Mrs. Taylor 283",female,8.99,0,0,SYN-00283,24.8472,,C
2284,0,2,"Davis, Mrs. Jordan 284",female,27.49,1,0,SYN-00284,25.2321,,S
2285,0,2,"Evans, Mr. Casey 285",male,28.08,0,0,SYN-00285,9.9757,A32,C
2286,0,1,"Foster, Mr. Riley 286",male,40.31,0,0,SYN-00286,125.0152,,S
2287,0,3,"Green, Mrs. Avery 287",female,8.23,0,1,SYN-00287,26.6301,,S
2288,0,3,"Hall, Mr. Jamie 288",male,21.74,2,0,SYN-00288,11.9438,,S
2289,1,1,"Anderson, Mr. Alex 289",male,14.09,2,0,SYN-00289,50.4811,F47,S
2290,1,3,"Bennett, Mrs. Morgan 290",female,54.8,0,0,SYN-00290,9.1476,,S
